#{"t_start": 1678199108.179441, "env_id": "Pendulum-v0"}
r,l,t
-1245.124688,200,0.391253
-974.327622,200,4.366746
-1631.999302,200,9.017658
-1602.494051,200,14.708542
-1503.185746,200,19.51173
-1396.72563,200,26.339153
-1294.464191,200,31.864781
-1289.77401,200,37.346498
-1141.514044,200,45.125666
-1071.114161,200,51.279431
-1619.437093,200,56.100323
-787.210246,200,61.313817
-722.484377,200,65.783385
-767.877237,200,69.375748
-385.029793,200,74.044251
-392.353612,200,80.915
-1512.573699,200,88.734858
-392.448155,200,94.011513
-600.179891,200,97.417905
-506.827118,200,100.569114
-545.563305,200,104.986457
-384.267123,200,109.8487
-143.306091,200,113.421802
-143.235143,200,117.076526
-124.578361,200,121.351392
-259.937785,200,125.938303
-120.447829,200,129.149885
-251.181493,200,132.444647
-131.018688,200,136.4424
-249.485887,200,141.983604
-136.145658,200,145.627795
-127.257789,200,149.005448
-127.209801,200,153.66605
-232.983488,200,157.835403
-244.078872,200,161.332631
-124.123746,200,164.867712
-2.952764,200,169.874854
-7.411795,200,174.654001
-122.993041,200,178.371909
-237.80999,200,182.099851
-131.360055,200,187.593992
-235.376179,200,191.270401
-126.530538,200,195.572266
-126.097125,200,199.637192
-117.45946,200,205.132151
-119.681799,200,209.006946
-122.504314,200,212.683636
-322.117609,200,217.154064
-1.056205,200,221.623464
-117.824421,200,225.320761
-118.398177,200,229.334054
-125.214577,200,234.389722
-122.376405,200,238.454374
-114.23141,200,241.841097
-115.094029,200,245.162894
-117.849387,200,249.774617
-242.519158,200,253.869542
-120.563494,200,257.184258
-120.952619,200,260.465481
-119.050237,200,264.225454
-120.658499,200,269.082745
-120.702557,200,272.336779
-124.316947,200,275.534451
-113.793438,200,278.74559
-243.57738,200,284.003085
-115.890984,200,288.080084
-118.134681,200,291.424921
-232.814097,200,295.774494
-1.550443,200,300.940766
-127.391365,200,304.314068
-236.66891,200,307.722546
-115.169111,200,311.332852
-0.830392,200,316.739548
-115.3684,200,320.572188
-115.510906,200,323.779751
-116.171697,200,327.464344
-234.820346,200,333.192893
-121.020523,200,337.151952
-120.292516,200,341.240537
-2.140482,200,346.100365
-240.991672,200,350.290124
-119.838323,200,353.782735
-2.616964,200,357.522377
-246.703447,200,362.236782
-3.317111,200,366.28723
-129.057864,200,369.808401
-115.883346,200,373.749655
-119.262878,200,378.74535
-1.169802,200,382.505982
-120.663613,200,385.953381
-241.223541,200,389.457967
-121.807598,200,394.223127
-125.070066,200,398.74231
-219.974571,200,402.135835
-118.710885,200,405.496854
-243.695077,200,410.432868
-319.633606,200,414.631958
-115.166185,200,417.866397
-118.836413,200,421.213494
-116.374246,200,425.660859
-117.313642,200,429.882285
-222.938625,200,433.258728
-116.44951,200,436.816698
-121.341453,200,441.531755
-0.361459,200,445.771013
-116.582212,200,449.582907
-119.075328,200,453.116863
-222.072444,200,458.066808
-117.593908,200,462.641667
-299.510417,200,466.04571
-119.425482,200,469.55334
-225.684042,200,474.670381
-121.538694,200,480.551485
-0.340504,200,484.329885
-118.3102,200,492.345753
-113.994124,200,498.465311
-119.94682,200,505.30729
-119.393583,200,511.28165
-251.365505,200,517.141819
-117.342648,200,523.241338
-119.302027,200,528.811105
-226.628538,200,534.874578
-1.450361,200,542.080997
-127.939362,200,547.387568
-115.224569,200,552.875584
-117.845857,200,558.926386
-124.929371,200,564.143583
-232.59315,200,570.183261
-119.031974,200,575.851041
-0.972082,200,580.785233
-122.256457,200,586.50559
-125.045789,200,591.456382
-229.305959,200,596.041467
-116.346385,200,599.835013
-236.149951,200,604.961524
-224.775694,200,608.597799
-6.609034,200,612.201761
-128.409426,200,615.931835
-120.159857,200,620.863776
-322.027076,200,625.247986
-119.479073,200,628.79905
-227.400984,200,632.737205
-0.524076,200,637.282222
-122.964599,200,640.576526
-2.112529,200,643.886447
-121.463469,200,647.329455
-223.775429,200,652.570527
-245.93571,200,656.205253
-2.841926,200,659.441479
-1.877885,200,663.170827
-242.120476,200,668.509652
-1.906305,200,671.827168
-3.140086,200,674.985847
-234.828248,200,678.257799
-126.685765,200,683.329893
-121.742102,200,686.878108
-235.163388,200,689.979872
-129.249429,200,693.212193
-131.449143,200,697.565128
-256.57874,200,701.65277
-122.618322,200,704.927062
-116.183258,200,708.260861
-240.152079,200,711.638502
-4.354655,200,716.630276
-5.925187,200,719.881742
-125.448195,200,723.076317
-123.591493,200,726.299759
-123.572344,200,731.410824
-345.008067,200,734.76141
-115.91074,200,738.081117
-4.960695,200,741.353457
-118.047863,200,745.899057
-119.658398,200,749.825718
-125.457719,200,752.960563
-120.626093,200,756.238719
-3.022372,200,759.919945
-229.893144,200,764.909132
-118.027793,200,768.160159
-124.929249,200,771.593679
-241.180129,200,774.822886
-234.944955,200,780.00847
-124.01909,200,783.338695
-346.4695,200,786.57844
-220.69027,200,790.26778
-122.439008,200,795.33789
-128.516926,200,798.732321
-122.984331,200,801.908772
-118.782458,200,805.25069
-4.911142,200,810.141599
-121.324481,200,814.403255
-124.182212,200,817.869758
-230.609857,200,821.075363
-128.156429,200,825.719185
-124.022932,200,829.784648
-126.322514,200,833.017949
-129.620689,200,836.242664
-123.735083,200,839.799674
-124.131318,200,844.729288
-119.82322,200,848.042655
-4.062486,200,851.25386
-6.560611,200,854.595665
-129.3115,200,859.839135
-119.665731,200,863.186521
-223.28731,200,866.335164
-121.563872,200,869.474712
-118.455653,200,874.196241
-232.592814,200,878.140674
-124.945722,200,881.390973
-244.686475,200,884.608797
-4.772187,200,889.512221
-4.488409,200,893.989591
-121.346398,200,897.415287
-358.244893,200,900.668611
-120.541656,200,904.52552
-244.559415,200,909.502826
-5.191086,200,912.943645
-5.717177,200,916.260856
-222.733019,200,920.110245
-120.749472,200,925.252561
-117.915968,200,928.486901
-125.706301,200,931.73033
-117.906528,200,935.322619
-119.495676,200,940.759216
-239.489778,200,944.099959
-116.317826,200,947.407756
-239.491712,200,950.61824
-227.524347,200,956.015171
-2.318086,200,959.474019
-120.103067,200,963.055294
-219.346763,200,966.380473
-224.180742,200,971.868159
-125.306162,200,977.253612
-118.212035,200,982.731148
-225.583335,200,989.000155
-116.508925,200,993.295202
-129.40911,200,997.228068
-292.800153,200,1002.144941
-119.812214,200,1005.994578
-120.395757,200,1009.248626
-1.669045,200,1012.801921
-120.238954,200,1016.922511
-220.947603,200,1021.339443
-1.961332,200,1024.774279
-116.75971,200,1028.031107
-265.86971,200,1031.613783
-126.328097,200,1036.669037
-228.099141,200,1040.023933
-339.316008,200,1043.31575
-120.87212,200,1046.614117
-128.390406,200,1052.00754
-117.140584,200,1055.543072
-220.62538,200,1059.627944
-124.843261,200,1062.915981
-640.356516,200,1068.180873
-230.800978,200,1071.562472
-225.956151,200,1074.88636
-119.362267,200,1078.145918
-0.942693,200,1083.54667
-124.3135,200,1087.250065
-217.923434,200,1090.540949
-128.387063,200,1093.823143
-344.651175,200,1098.770533
-126.91634,200,1102.390068
-241.854229,200,1105.833158
-237.060716,200,1109.335952
-125.810981,200,1114.009254
-117.759055,200,1118.028266
-373.14664,200,1121.372216
-245.013645,200,1124.713464
-1.840697,200,1128.885062
-365.505577,200,1133.436761
-3.508685,200,1136.750679
-123.713053,200,1140.160281
-1.751581,200,1143.772036
-2.726197,200,1149.625575
-125.292108,200,1153.17541
-121.960379,200,1156.424557
-244.182712,200,1160.278714
-125.312235,200,1165.207987
-129.333467,200,1168.58454
-115.942763,200,1171.86132
-125.886465,200,1175.398498
-120.739043,200,1180.730969
-118.495568,200,1184.266619
-114.853905,200,1187.602164
-371.76327,200,1190.962592
-227.989198,200,1196.346687
-2.048915,200,1199.667333
-125.525447,200,1202.982363
-118.852909,200,1206.379352
-223.557193,200,1211.823884
-117.906127,200,1215.520739
-331.981888,200,1218.970709
-900.295427,200,1222.32854
-122.607479,200,1227.64623
-124.277829,200,1231.248293
-224.737381,200,1234.820927
-120.414262,200,1238.202833
-117.107095,200,1243.634897
-230.266301,200,1247.309497
-227.91856,200,1251.204376
-119.603952,200,1254.934513
-296.31406,200,1261.065412
-120.881478,200,1266.997551
-121.136806,200,1272.476184
-127.631795,200,1277.794071
-231.036089,200,1281.296794
-117.619804,200,1284.802346
-118.912224,200,1289.234086
-130.521045,200,1293.937853
-252.456166,200,1297.77065
-242.729559,200,1301.364942
-119.092634,200,1306.469266
-369.076368,200,1310.455329
-114.750189,200,1314.041205
-0.441145,200,1317.794096
-255.430074,200,1323.081967
-1.094588,200,1327.069321
-236.413713,200,1330.721114
-117.880387,200,1334.43131
-123.398768,200,1339.934381
-120.11411,200,1343.564494
-248.893404,200,1347.134851
-126.153979,200,1351.47542
-118.640566,200,1357.169238
-125.8256,200,1360.947566
-113.859564,200,1364.607457
-229.584904,200,1368.931154
-351.803867,200,1373.786292
-126.100465,200,1377.449223
-341.053338,200,1381.19911
-227.500745,200,1386.408771
-120.551196,200,1390.479636
-126.957962,200,1394.121327
-121.174008,200,1397.695612
-230.944831,200,1403.202122
-126.25683,200,1407.05311
-117.409836,200,1411.520103
-117.531558,200,1415.181046
-1.676325,200,1421.49738
-220.00747,200,1425.351189
-224.476832,200,1428.9963
-242.876788,200,1433.782314
-220.31353,200,1439.503239
-122.126246,200,1444.397407
-114.470992,200,1450.601692
-118.382585,200,1455.194986
-115.45877,200,1458.829775
-121.826166,200,1462.511603
-124.521765,200,1468.185392
-122.127723,200,1472.025026
-124.538576,200,1475.737465
-245.438264,200,1479.691917
-115.686812,200,1485.475503
-226.571353,200,1489.191104
-217.891896,200,1492.916284
-3.58921,200,1497.801236
-118.053217,200,1502.277322
-117.00283,200,1506.014477
-226.451819,200,1509.715204
-3.622219,200,1515.137582
-3.00335,200,1519.060165
-223.09284,200,1523.196295
-119.203587,200,1526.902198
-122.00289,200,1532.473278
-122.49576,200,1536.311635
-225.183166,200,1540.095276
-125.105943,200,1544.154517
-121.049096,200,1549.731436
-119.390052,200,1553.413912
-222.835557,200,1557.070311
-121.74956,200,1562.226976
-128.879175,200,1567.948242
-118.068653,200,1573.308697
-219.353834,200,1579.68498
-216.986433,200,1583.882796
-118.008336,200,1587.513804
-117.356409,200,1591.197473
-116.278115,200,1596.892832
-123.79101,200,1601.071689
-250.406381,200,1605.230229
-226.989052,200,1611.613574
-125.547314,200,1616.224807
-116.949449,200,1620.59251
-120.379947,200,1626.672788
-128.621119,200,1632.319114
-119.324145,200,1637.434464
-3.173106,200,1643.751875
-118.89216,200,1649.001077
-236.825838,200,1652.931963
-224.915886,200,1658.13234
-114.799686,200,1662.817183
-0.933896,200,1666.559587
-0.848539,200,1670.307873
-2.157732,200,1676.095112
-1.858931,200,1679.961524
-125.655786,200,1683.717552
-306.502878,200,1687.694772
-119.209451,200,1693.337832
-121.785475,200,1697.266142
-113.421221,200,1701.053964
-1.183234,200,1706.166371
-231.014109,200,1711.639254
-319.357763,200,1715.35677
-121.859378,200,1719.128067
-2.169786,200,1725.063479
-117.486349,200,1728.860938
-123.627282,200,1732.617105
-233.592318,200,1737.395358
-114.587639,200,1742.290699
-218.265095,200,1746.643214
-225.470707,200,1751.047313
-120.881823,200,1756.845253
-123.718238,200,1760.522373
-216.226575,200,1764.281645
-123.206727,200,1768.625662
-2.586254,200,1773.939354
-222.539432,200,1777.839768
-225.510249,200,1781.681159
-219.734558,200,1787.398462
-220.934707,200,1791.685531
-0.486736,200,1795.456026
-116.582435,200,1799.363806
-233.472625,200,1805.05336
-236.62356,200,1808.902996
-258.181166,200,1814.382772
-124.040285,200,1821.943985
-123.858246,200,1827.515898
-218.451447,200,1831.712365
-369.68421,200,1837.179556
-234.873294,200,1841.232566
-227.800787,200,1846.907593
-257.292801,200,1853.753904
-122.882959,200,1860.428153
-127.374699,200,1866.73894
-127.920591,200,1872.453041
-4.389103,200,1876.821194
-129.983048,200,1881.627373
-127.06743,200,1887.91924
-118.101383,200,1895.921829
-117.222277,200,1904.296371
-284.071768,200,1909.120408
-121.301822,200,1916.779436
-8.627063,200,1922.269676
-125.255174,200,1927.003061
-5.463744,200,1932.931076
-223.980372,200,1937.451046
-231.6859,200,1942.006675
-120.243481,200,1951.09025
-130.065806,200,1957.967804
-128.656599,200,1964.764975
-118.984066,200,1970.237367
-117.036902,200,1975.601828
-116.65994,200,1981.930104
-121.648653,200,1986.219079
-244.25277,200,1990.935305
-327.914305,200,1997.565313
-122.27731,200,2002.254001
-221.083128,200,2006.510126
-129.345102,200,2013.675648
-117.098669,200,2018.384373
-126.251304,200,2022.989415
-118.179166,200,2031.345853
-124.898929,200,2036.845656
-5.219635,200,2043.687195
-240.288016,200,2049.51203
-121.4132,200,2055.008879
-121.277444,200,2062.282368
-244.731478,200,2069.317599
-125.809367,200,2076.17947
-250.795299,200,2082.389605
-228.404933,200,2088.246018
-121.795063,200,2095.562773
-6.273407,200,2102.197218
-121.957254,200,2109.631121
-136.252191,200,2116.292678
-229.66696,200,2123.275628
-134.511211,200,2128.115038
-138.870945,200,2133.595372
-13.92397,200,2140.759303
-260.035744,200,2146.231107
-137.276074,200,2151.412569
-235.287757,200,2157.535108
-132.302892,200,2162.252829
-235.500242,200,2167.534344
-137.843885,200,2173.783035
-20.75374,200,2178.188337
-136.773922,200,2182.349924
-315.018947,200,2188.522502
-131.346608,200,2193.853667
-131.673247,200,2201.477188
-290.296108,200,2208.613775
-124.649776,200,2214.279521
-235.376251,200,2219.156101
-227.812712,200,2222.924134
-123.081174,200,2227.682911
-120.616498,200,2232.713368
-1.53899,200,2237.94232
-128.81298,200,2241.693779
-117.934642,200,2245.528003
-353.513675,200,2251.020633
-225.236923,200,2255.496125
-121.678281,200,2260.233753
-294.788915,200,2264.813257
-3.732849,200,2269.968803
-219.956679,200,2273.825232
-126.847031,200,2277.657718
-366.714029,200,2283.207275
-127.572411,200,2287.471089
-117.72276,200,2291.813438
-115.66825,200,2298.118134
-221.088535,200,2305.200742
-124.401611,200,2311.675807
-124.59127,200,2318.406107
-130.360227,200,2322.779039
-3.603669,200,2326.939929
-121.069733,200,2333.298157
-122.014555,200,2338.240889
-117.526422,200,2342.47442
-122.372953,200,2349.194758
-4.130491,200,2356.689959
-230.497721,200,2365.086419
-121.521338,200,2371.696416
-119.05077,200,2381.340478
-131.605387,200,2392.669087
-3.455919,200,2399.57951
-125.808057,200,2403.957696
-128.126136,200,2409.438482
-118.483458,200,2415.677847
-335.715438,200,2421.265233
-126.506292,200,2427.060418
-122.734235,200,2431.82807
-116.840553,200,2435.580045
-119.849932,200,2439.971053
-121.367973,200,2446.557428
-225.918997,200,2450.816219
-225.298613,200,2455.263294
-228.099475,200,2461.833309
-218.6906,200,2467.40974
-124.979685,200,2471.595888
-3.61014,200,2477.628041
-124.711225,200,2481.507854
-121.24349,200,2485.456471
-121.919371,200,2491.040578
-225.040598,200,2495.928205
-318.857325,200,2499.937832
-119.902925,200,2504.317599
-3.156663,200,2510.14896
-220.352677,200,2513.87942
-3.331688,200,2517.869964
-126.452001,200,2523.659156
-120.270549,200,2528.097342
-232.894114,200,2531.845048
-123.510183,200,2536.077156
